1159 1159
1001 54 0.0000000000
1001 353 0.0000000000
1002 76 174519921.0000000000
1002 219 174519921.0000000000
1002 494 174519921.0000000000
1003 42 0.0000000000
1003 98 0.0000000000
1004 125 248781614.0000000000
1004 811 248781614.0000000000
1005 126 48643486.5000000000
1005 672 48643486.5000000000
1006 155 0.0000000000
1006 924 0.0000000000
1007 50 155379554.5000000000
1007 168 155379554.5000000000
1008 7 0.0000000000
1008 460 0.0000000000
1007 1008 155379554.5000000000
1007 549 155379554.5000000000
1009 27 51747572.5000000000
1009 203 51747572.5000000000
1010 118 207517328.0000000000
1010 231 207517328.0000000000
1010 241 207517328.0000000000
1011 302 205775018.0000000000
1011 551 205775018.0000000000
1012 321 0.0000000000
1012 600 0.0000000000
1013 3 369754130.5000000000
1013 4 369754130.5000000000
1014 5 0.0000000000
1014 565 0.0000000000
1014 798 0.0000000000
1013 1014 369754130.5000000000
1013 8 369754130.5000000000
1013 14 369754130.5000000000
1013 16 369754130.5000000000
1013 17 369754130.5000000000
1015 18 0.0000000000
1015 21 0.0000000000
1013 1015 369754130.5000000000
1013 23 369754130.5000000000
1013 24 369754130.5000000000
1016 28 64456872.0000000000
1016 151 64456872.0000000000
1016 439 64456872.0000000000
1016 569 64456872.0000000000
1016 963 64456872.0000000000
1013 1016 305297258.5000000000
1017 29 0.0000000000
1017 254 0.0000000000
1013 1017 369754130.5000000000
1013 30 369754130.5000000000
1018 9 105745446.5000000000
1018 13 105745446.5000000000
1018 15 105745446.5000000000
1018 33 105745446.5000000000
1018 43 105745446.5000000000
1018 122 105745446.5000000000
1018 261 105745446.5000000000
1018 431 105745446.5000000000
1018 465 105745446.5000000000
1018 563 105745446.5000000000
1018 598 105745446.5000000000
1018 658 105745446.5000000000
1018 712 105745446.5000000000
1018 778 105745446.5000000000
1018 784 105745446.5000000000
1018 846 105745446.5000000000
1018 867 105745446.5000000000
1018 929 105745446.5000000000
1018 1000 105745446.5000000000
1013 1018 264008684.0000000000
1013 35 369754130.5000000000
1013 40 369754130.5000000000
1013 41 369754130.5000000000
1019 46 68616938.0000000000
1019 247 68616938.0000000000
1019 529 68616938.0000000000
1019 863 68616938.0000000000
1013 1019 301137192.5000000000
1013 47 369754130.5000000000
1013 52 369754130.5000000000
1020 56 86399176.0000000000
1020 94 86399176.0000000000
1020 326 86399176.0000000000
1020 369 86399176.0000000000
1020 419 86399176.0000000000
1013 1020 283354954.5000000000
1013 57 369754130.5000000000
1013 60 369754130.5000000000
1013 64 369754130.5000000000
1013 69 369754130.5000000000
1013 70 369754130.5000000000
1013 72 369754130.5000000000
1013 75 369754130.5000000000
1013 77 369754130.5000000000
1021 78 49409688.5000000000
1021 96 49409688.5000000000
1021 294 49409688.5000000000
1013 1021 320344442.0000000000
1022 82 0.0000000000
1022 217 0.0000000000
1013 1022 369754130.5000000000
1023 86 22413810.5000000000
1023 492 22413810.5000000000
1023 791 22413810.5000000000
1023 947 22413810.5000000000
1013 1023 347340320.0000000000
1013 89 369754130.5000000000
1013 90 369754130.5000000000
1024 93 113915249.5000000000
1024 177 113915249.5000000000
1024 266 113915249.5000000000
1024 279 113915249.5000000000
1024 468 113915249.5000000000
1024 489 113915249.5000000000
1024 581 113915249.5000000000
1024 627 113915249.5000000000
1024 675 113915249.5000000000
1024 682 113915249.5000000000
1024 800 113915249.5000000000
1013 1024 255838881.0000000000
1025 95 6761699.5000000000
1025 164 6761699.5000000000
1013 1025 362992431.0000000000
1013 101 369754130.5000000000
1013 104 369754130.5000000000
1026 61 66647121.5000000000
1026 106 66647121.5000000000
1026 277 66647121.5000000000
1026 503 66647121.5000000000
1026 595 66647121.5000000000
1026 788 66647121.5000000000
1026 828 66647121.5000000000
1026 901 66647121.5000000000
1013 1026 303107009.0000000000
1027 103 78395849.0000000000
1027 107 78395849.0000000000
1027 197 78395849.0000000000
1027 214 78395849.0000000000
1027 295 78395849.0000000000
1027 330 78395849.0000000000
1027 458 78395849.0000000000
1027 530 78395849.0000000000
1027 683 78395849.0000000000
1027 727 78395849.0000000000
1027 875 78395849.0000000000
1027 934 78395849.0000000000
1027 981 78395849.0000000000
1013 1027 291358281.5000000000
1013 110 369754130.5000000000
1013 115 369754130.5000000000
1028 116 81446533.0000000000
